Date,Facebook,Amaxon,Apple,Netlfix,Google,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/29/2022,$120.26 ,$84.18 ,$129.61 ,$291.12 ,$88.95 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/28/2022,$115.62 ,$81.82 ,$126.04 ,$276.88 ,$86.46 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/27/2022,$116.88 ,$83.04 ,$130.03 ,$284.17 ,$87.93 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/23/2022,$118.04 ,$85.25 ,$131.86 ,$294.97 ,$89.81 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2022,$117.12 ,$83.79 ,$132.23 ,$297.75 ,$88.26 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/21/2022,$119.76 ,$86.77 ,$135.45 ,$297.96 ,$90.25 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/20/2022,$117.09 ,$85.19 ,$132.30 ,$288.19 ,$89.63 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/19/2022,$114.48 ,$84.92 ,$132.37 ,$288.30 ,$89.15 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/16/2022,$119.43 ,$87.86 ,$134.51 ,$290.71 ,$90.86 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/15/2022,$116.15 ,$88.45 ,$136.50 ,$290.41 ,$91.20 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/14/2022,$121.59 ,$91.58 ,$143.21 ,$317.83 ,$95.31 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/13/2022,$120.15 ,$92.49 ,$145.47 ,$320.34 ,$95.85 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/12/2022,$114.71 ,$90.55 ,$144.49 ,$315.18 ,$93.56 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/9/2022,$115.90 ,$89.09 ,$142.16 ,$320.01 ,$93.07 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/8/2022,$115.33 ,$90.35 ,$142.65 ,$310.26 ,$93.95 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/7/2022,$113.93 ,$88.46 ,$140.94 ,$308.42 ,$95.15 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/6/2022,$114.12 ,$88.25 ,$142.91 ,$305.56 ,$97.31 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
