Date,Close/Last,Volume,Open,High,Low
3/6/23,$184.90 ,33209390,$188.00 ,$189.66 ,$184.64 
3/3/23,$185.25 ,45877690,$178.92 ,$186.62 ,$177.05 
3/2/23,$174.53 ,17360710,$172.38 ,$175.01 ,$171.43 
3/1/23,$173.42 ,30998380,$174.59 ,$177.85 ,$173.05 
2/28/23,$174.94 ,46051120,$171.90 ,$177.55 ,$171.87 
2/27/23,$169.54 ,19277000,$171.88 ,$173.12 ,$169.06 
2/24/23,$170.39 ,19791330,$168.64 ,$170.72 ,$167.66 
2/23/23,$172.04 ,20017780,$172.00 ,$173.69 ,$169.38 
2/22/23,$171.12 ,22433160,$171.07 ,$172.76 ,$169.69 
2/21/23,$172.08 ,34592580,$174.31 ,$178.17 ,$171.88 
2/17/23,$172.88 ,24171260,$170.22 ,$173.18 ,$169.70 
2/16/23,$172.44 ,25827470,$172.75 ,$175.85 ,$171.79 
2/15/23,$177.16 ,25337970,$176.42 ,$178.19 ,$175.33 
2/14/23,$179.48 ,24034630,$177.16 ,$181.51 ,$175.88 
2/13/23,$179.43 ,31463220,$178.22 ,$181.00 ,$175.82 
2/10/23,$174.15 ,33433570,$176.35 ,$178.89 ,$173.35 
2/9/23,$177.92 ,37118810,$186.13 ,$186.65 ,$177.27 
2/8/23,$183.43 ,36139070,$190.00 ,$190.83 ,$182.92 
2/7/23,$191.62 ,47080660,$185.58 ,$193.78 ,$184.40 
2/6/23,$186.06 ,42483810,$186.53 ,$190.70 ,$185.52 
2/3/23,$186.53 ,76809700,$183.47 ,$196.77 ,$182.89 
2/2/23,$188.77 ,150475700,$183.38 ,$197.16 ,$180.16 
2/1/23,$153.12 ,55661020,$148.03 ,$153.58 ,$147.06 
1/31/23,$148.97 ,29842110,$147.95 ,$149.88 ,$147.52 
1/30/23,$147.06 ,28040100,$149.41 ,$151.12 ,$146.95 
1/27/23,$151.74 ,35771870,$148.24 ,$153.19 ,$147.39 
1/26/23,$147.30 ,25482080,$144.40 ,$147.51 ,$143.30 
1/25/23,$141.50 ,26622020,$141.22 ,$143.17 ,$140.31 
1/24/23,$143.14 ,21970190,$141.69 ,$145.00 ,$141.36 
1/23/23,$143.27 ,27470090,$139.29 ,$143.76 ,$138.66 
1/20/23,$139.37 ,28688630,$135.89 ,$139.94 ,$134.61 
1/19/23,$136.15 ,28625230,$132.49 ,$137.45 ,$132.14 
1/18/23,$133.02 ,20215490,$135.81 ,$137.25 ,$132.80 
1/17/23,$135.36 ,21147590,$136.18 ,$136.75 ,$134.25 
1/13/23,$136.98 ,22423840,$134.97 ,$137.39 ,$134.84 
1/12/23,$136.71 ,30757730,$133.44 ,$137.68 ,$131.76 
1/11/23,$132.89 ,25423050,$130.96 ,$133.85 ,$130.34 
1/10/23,$132.99 ,28684430,$127.27 ,$133.44 ,$127.15 
1/9/23,$129.47 ,26649150,$131.16 ,$132.95 ,$129.28 
1/6/23,$130.02 ,27584500,$128.97 ,$130.33 ,$126.04 
1/5/23,$126.94 ,25447100,$126.13 ,$128.52 ,$124.54 
1/4/23,$127.37 ,32397090,$127.38 ,$129.05 ,$125.85 
1/3/23,$124.74 ,35528530,$122.82 ,$126.37 ,$122.28 
12/30/22,$120.34 ,19583830,$118.16 ,$120.42 ,$117.74 
12/29/22,$120.26 ,22366190,$116.40 ,$121.03 ,$115.77 
12/28/22,$115.62 ,19612470,$116.25 ,$118.15 ,$115.51 
12/27/22,$116.88 ,21392310,$117.93 ,$118.60 ,$116.05 
12/23/22,$118.04 ,17796630,$116.03 ,$118.18 ,$115.54 
12/22/22,$117.12 ,23618120,$117.20 ,$118.62 ,$114.38 
12/21/22,$119.76 ,20392800,$116.70 ,$120.34 ,$115.62 
12/20/22,$117.09 ,28742500,$113.26 ,$117.33 ,$112.46 
12/19/22,$114.48 ,29769880,$116.83 ,$117.80 ,$114.33 
12/16/22,$119.43 ,67064000,$120.23 ,$123.31 ,$118.82 
