Label,Close/Last,Volume,Open,High,Low
Facebook,$120.26 ,22366190,$116.40 ,$121.03 ,$115.77 
Facebook,$115.62 ,19612470,$116.25 ,$118.15 ,$115.51 
Facebook,$116.88 ,21392310,$117.93 ,$118.60 ,$116.05 
Facebook,$118.04 ,17796630,$116.03 ,$118.18 ,$115.54 
Facebook,$117.12 ,23618120,$117.20 ,$118.62 ,$114.38 
Facebook,$119.76 ,20392800,$116.70 ,$120.34 ,$115.62 
Facebook,$117.09 ,28742500,$113.26 ,$117.33 ,$112.46 
Facebook,$114.48 ,29769880,$116.83 ,$117.80 ,$114.33 
Facebook,$119.43 ,67064000,$120.23 ,$123.31 ,$118.82 
Facebook,$116.15 ,34530970,$118.33 ,$118.63 ,$114.01 
Facebook,$121.59 ,36922040,$119.39 ,$124.14 ,$119.39 
Facebook,$120.15 ,44701050,$122.13 ,$123.30 ,$118.64 
Facebook,$114.71 ,24747060,$115.18 ,$115.72 ,$113.14 
Facebook,$115.90 ,26033350,$115.30 ,$117.54 ,$113.87 
Facebook,$115.33 ,30619420,$116.39 ,$117.34 ,$114.59 
Facebook,$113.93 ,29461140,$113.76 ,$115.88 ,$112.88 
Facebook,$114.12 ,43689180,$119.91 ,$120.55 ,$113.74 
Facebook,$122.43 ,35474880,$121.75 ,$124.67 ,$121.35 
Facebook,$123.49 ,39950460,$117.83 ,$124.04 ,$117.61 
Facebook,$120.44 ,36551370,$119.20 ,$121.20 ,$118.40 
Facebook,$118.10 ,43348560,$109.51 ,$118.16 ,$109.38 
Facebook,$109.46 ,23899240,$109.54 ,$110.94 ,$108.54 
Facebook,$108.78 ,23332820,$110.78 ,$112.04 ,$108.38 
Facebook,$111.41 ,12007570,$111.30 ,$112.73 ,$111.02 
Facebook,$112.24 ,21343080,$111.72 ,$112.67 ,$110.73 
Facebook,$111.44 ,29028960,$109.86 ,$111.62 ,$108.32 
Facebook,$109.86 ,24351070,$111.52 ,$112.37 ,$109.19 
Facebook,$112.05 ,33357710,$113.80 ,$114.32 ,$110.62 
Facebook,$111.45 ,35093820,$110.41 ,$112.33 ,$109.80 
Facebook,$113.23 ,33287770,$114.50 ,$116.08 ,$112.66 
Facebook,$117.08 ,50670500,$116.07 ,$118.74 ,$114.41 
Facebook,$114.22 ,53394970,$110.99 ,$116.27 ,$110.80 
Facebook,$113.02 ,59961740,$109.23 ,$114.90 ,$108.81 
Facebook,$111.87 ,80670960,$107.12 ,$112.75 ,$104.61 
Facebook,$101.47 ,107677300,$101.72 ,$104.90 ,$100.74 
Facebook,$96.47 ,52088320,$95.92 ,$97.80 ,$94.79 
Facebook,$96.72 ,81987300,$94.78 ,$96.88 ,$93.10 
Facebook,$90.79 ,55638060,$90.35 ,$91.39 ,$88.09 
Facebook,$88.91 ,60664010,$90.08 ,$90.46 ,$88.41 
Facebook,$90.54 ,71821060,$94.21 ,$95.20 ,$90.48 
Facebook,$95.20 ,110189600,$94.33 ,$97.49 ,$93.55 
Facebook,$93.16 ,121361400,$98.22 ,$99.32 ,$92.60 
